,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b1444,ABUTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0273,OCBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2234;b2235;b3781,RNDR1,RNDR2,RNDR3,RNDR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3222,AMANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3223,AMANAPEr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0131,ASP1DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0628,LIPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3631,GLCTR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3630,HEPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3633,MOAT,MOAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3632,HEPT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1686,DHNCOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3640,DUTPDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4394,NTP10,NTP11,NTP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0755,PGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4392,MLTGY1pp,MLTGY2pp,MLTGY3pp,MLTGY4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1680,CYSSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4390,NMNAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4254,OCBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2800,FCLPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3126,GLCRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1727,2DOXG6PP,E4PP,GAPP,MN6PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2328,MDDEP1pp,MDDEP2pp,MDDEP3pp,MDDEP4pp,MLDEP1pp,MLDEP2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2329,CHORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2480;b3781,THIORDXi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2582;b3551,METSOXR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2320,PERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2323,3OAS100,3OAS120,3OAS121,3OAS140,3OAS141,3OAS160,3OAS161,3OAS180,3OAS60,3OAS80,KAS14,MACPD,OPMEACPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0622,LIPAHT2ex,LIPAHTex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3648,DGK1,GK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3525,CDGUNPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3634,PTPATi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3526,DDGLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4481,AADDGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1337;b1338,4ABZGLUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3642,ORPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3771,DHAD1,DHAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3785;b3793,ECAP1pp,ECAP2pp,ECAP3pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
